 March 13, 2015
 Calls
 Strike       Contract Name   Last    Bid    Ask    Change   %Change    Volumn     Open Interest  Implied Volatility
  31.50 TWTR150313C00031500   7.20  14.15  14.80      0.00     0.00%        17                17             243.36%
  33.00 TWTR150313C00033000   8.50  12.40  13.25      0.00     0.00%         1                 1             209.38%
  35.00 TWTR150313C00035000  11.30  10.65  11.35      0.00     0.00%         4                22             194.92%
  36.00 TWTR150313C00036000  11.89   9.75  10.25      0.00     0.00%        15                36             164.06%
  36.50 TWTR150313C00036500   3.65   9.25   9.75      0.00     0.00%        22                21             156.64%
  37.00 TWTR150313C00037000  13.00   8.75   9.25      0.00     0.00%        23                61             149.61%
  37.50 TWTR150313C00037500   9.65   8.25   8.75      0.00     0.00%        16                47             142.19%
  38.00 TWTR150313C00038000   9.15   7.75   8.30      0.00     0.00%        28                76              81.25%
  38.50 TWTR150313C00038500   8.25   7.25   7.75      0.00     0.00%         3                14             127.93%
  39.00 TWTR150313C00039000   8.89   6.75   7.30      0.00     0.00%        22                31              71.88%
  39.50 TWTR150313C00039500   7.18   6.25   6.90      0.00     0.00%         2                54              84.38%
  40.00 TWTR150313C00040000   7.65   5.80   6.25     -0.84   -11.16%        10               128              61.72%
  40.50 TWTR150313C00040500   7.04   5.30   5.75      0.00     0.00%         1                13              57.03%
  41.00 TWTR150313C00041000   6.24   4.80   5.25     -1.43   -18.64%         3               206              52.34%
  41.50 TWTR150313C00041500   5.70   4.30   4.75      0.00     0.00%         9                43              85.35%
  42.00 TWTR150313C00042000   4.20   4.10   4.25     -1.72   -26.46%        34                53              69.92%
  42.50 TWTR150313C00042500   4.35   3.55   3.80     -2.70   -38.30%        10                28              63.28%
  43.00 TWTR150313C00043000   2.97   3.15   3.25      0.00     0.00%         4                56              58.98%
  43.50 TWTR150313C00043500   2.73   2.67   2.77     -2.17   -36.35%        36                 8              53.71%
  44.00 TWTR150313C00044000   2.11   2.20   2.31     -0.90   -23.68%       156                42              53.13%
  44.50 TWTR150313C00044500   1.83   1.80   1.85     -0.34   -12.45%       102               199              47.66%
  45.00 TWTR150313C00045000   1.31   1.40   1.43     -0.82   -27.61%       554               386              43.65%
  45.50 TWTR150313C00045500   1.04   1.05   1.07     -0.54   -24.22%       600                65              41.31%
  46.00 TWTR150313C00046000   0.75   0.75   0.77     -0.57   -29.84%      1109               255              39.84%
  46.50 TWTR150313C00046500   0.56   0.52   0.54     -0.46   -29.87%      1150               321              39.36%
  47.00 TWTR150313C00047000   0.36   0.34   0.36     -0.43   -34.40%      3532              1675              38.87%
  47.50 TWTR150313C00047500   0.23   0.22   0.24     -0.38   -38.00%      2265              2632              39.16%
  48.00 TWTR150313C00048000   0.15   0.14   0.16     -0.29   -38.67%      2785              4703              40.04%
  48.50 TWTR150313C00048500   0.10   0.09   0.10     -0.27   -43.55%      1081              2326              40.23%
  49.00 TWTR150313C00049000   0.07   0.06   0.07     -0.25   -50.00%      1146              2583              41.80%
  49.50 TWTR150313C00049500   0.05   0.04   0.05     -0.19   -50.00%       658              1832              43.36%
  50.00 TWTR150313C00050000   0.04   0.03   0.04     -0.14   -48.28%      1230              5465              46.09%
  50.50 TWTR150313C00050500   0.03   0.02   0.03     -0.27   -67.50%       156              1006              48.05%
  51.00 TWTR150313C00051000   0.04   0.02   0.03     -0.04   -23.53%       112               821              50.78%
  51.50 TWTR150313C00051500   0.09   0.01   0.02     -0.06   -37.50%        85               494              50.00%
  52.00 TWTR150313C00052000   0.03   0.00   0.02     -0.02   -15.38%        51               437              51.56%
  52.50 TWTR150313C00052500   0.02   0.00   0.02     -0.04   -40.00%        20               312              54.69%
  53.00 TWTR150313C00053000   0.02   0.00   0.02     -0.04   -33.33%         5               641              57.81%
  53.50 TWTR150313C00053500   0.05   0.00   0.02     -0.07   -58.33%        58                78              60.94%
  54.00 TWTR150313C00054000   0.03   0.00   0.01     -0.06   -60.00%       150               409              59.38%
  54.50 TWTR150313C00054500   0.04   0.00   0.01     -0.11   -73.33%         4               563              62.50%
  55.00 TWTR150313C00055000   0.04   0.00   0.01      0.00     0.00%        13               510              65.63%
  55.50 TWTR150313C00055500   0.03   0.00   0.01     -0.05   -62.50%         1               418              68.75%
  56.00 TWTR150313C00056000   0.01   0.00   0.01      0.00     0.00%         3               598              71.88%
  56.50 TWTR150313C00056500   0.02   0.00   0.01     -0.01   -16.67%       274               329              75.00%
  57.00 TWTR150313C00057000   0.03   0.00   0.02     -0.02   -40.00%        10                40              82.81%
  57.50 TWTR150313C00057500   0.03   0.00   0.01     -0.01   -25.00%        22                65              81.25%
  60.00 TWTR150313C00060000   0.03   0.00   0.01      0.00     0.00%        11                11              93.75%
 Puts
 Strike       Contract Name   Last    Bid    Ask    Change   %Change    Volumn     Open Interest  Implied Volatility
  25.00 TWTR150313P00025000   0.15   0.00   0.01      0.00     0.00%         3                 9             206.25%
  29.00 TWTR150313P00029000   0.41   0.00   0.01      0.00     0.00%         2                 2             156.25%
  30.00 TWTR150313P00030000   0.01   0.00   0.01      0.00     0.00%         2               102             150.00%
  31.00 TWTR150313P00031000   0.49   0.00   0.01      0.00     0.00%         4                 4             137.50%
  32.00 TWTR150313P00032000   0.70   0.00   0.01      0.00     0.00%         3                 3             125.00%
  32.50 TWTR150313P00032500   1.06   0.00   0.01      0.00     0.00%       100               100             121.88%
  33.00 TWTR150313P00033000   0.74   0.00   0.01      0.00     0.00%         2                 4             118.75%
  33.50 TWTR150313P00033500   1.32   0.00   0.01      0.00     0.00%        19                59             112.50%
  34.00 TWTR150313P00034000   0.02   0.00   0.01      0.00     0.00%         2                 3             106.25%
  34.50 TWTR150313P00034500   0.03   0.00   0.01      0.01   +50.00%         8                90             103.13%
  35.00 TWTR150313P00035000   0.03   0.00   0.01      0.00     0.00%        18                18              96.88%
  35.50 TWTR150313P00035500   0.01   0.00   0.01     -0.07   -63.64%        20                55              93.75%
  36.00 TWTR150313P00036000   0.04   0.00   0.01     -0.01   -20.00%         8               134              87.50%
  36.50 TWTR150313P00036500   0.02   0.00   0.01      0.00     0.00%        10                82              84.38%
  37.00 TWTR150313P00037000   0.03   0.00   0.01     -0.25   -89.29%         6               128              81.25%
  37.50 TWTR150313P00037500   0.04   0.00   0.02     -2.96   -98.67%        12                40              81.25%
  38.00 TWTR150313P00038000   0.22   0.00   0.02      0.00     0.00%         4                70              76.56%
  38.50 TWTR150313P00038500   0.22   0.00   0.02      0.00     0.00%         6               151              71.88%
  39.00 TWTR150313P00039000   0.03   0.00   0.02     -0.01   -25.00%        40               307              67.19%
  39.50 TWTR150313P00039500   0.03   0.00   0.02      0.00     0.00%        27               217              62.50%
  40.00 TWTR150313P00040000   0.03   0.01   0.02     -0.04   -57.14%        21               351              61.72%
  40.50 TWTR150313P00040500   0.04   0.02   0.03     -0.32   -88.89%         4                49              61.72%
  41.00 TWTR150313P00041000   0.03   0.02   0.04     -0.02   -40.00%        11               214              58.20%
  41.50 TWTR150313P00041500   0.03   0.03   0.04      0.00     0.00%        30               211              54.69%
  42.00 TWTR150313P00042000   0.05   0.04   0.05      0.00     0.00%       146              1477              51.56%
  42.50 TWTR150313P00042500   0.05   0.05   0.06      0.01   +20.00%        71               294              49.22%
  43.00 TWTR150313P00043000   0.08   0.06   0.08     -0.01   -11.11%       122               330              46.29%
  43.50 TWTR150313P00043500   0.11   0.09   0.11     -0.02   -16.67%       314               162              43.75%
  44.00 TWTR150313P00044000   0.16   0.12   0.14      0.02   +14.29%       629               446              40.23%
  44.50 TWTR150313P00044500   0.22   0.18   0.20      0.02   +10.53%      3909               901              37.89%
  45.00 TWTR150313P00045000   0.34   0.28   0.29      0.05   +19.23%      3114              3161              35.74%
  45.50 TWTR150313P00045500   0.42   0.42   0.44      0.13   +37.14%       883               458              34.77%
  46.00 TWTR150313P00046000   0.62   0.62   0.64      0.11   +22.45%      2227              2693              33.59%
  46.50 TWTR150313P00046500   0.89   0.89   0.91      0.20   +32.26%      1031              1081              32.91%
  47.00 TWTR150313P00047000   1.23   1.21   1.24      0.20   +22.99%      1082              1296              32.13%
  47.50 TWTR150313P00047500   1.60   1.56   1.62      0.34   +32.08%       367              1600              30.86%
  48.00 TWTR150313P00048000   2.05   1.99   2.05      0.28   +19.58%       416               877              29.88%
  48.50 TWTR150313P00048500   1.89   2.42   2.50      0.52   +31.33%        21               392              25.00%
  49.00 TWTR150313P00049000   2.64   2.89   2.98      0.09    +4.29%        27               303               0.00%
  49.50 TWTR150313P00049500   3.45   3.35   3.50      0.49   +19.44%       119               478              32.81%
  50.00 TWTR150313P00050000   3.20   3.85   3.95      0.01    +0.43%        69               277               0.00%
  50.50 TWTR150313P00050500   3.78   4.25   4.50      1.25   +45.45%         1               161              40.63%
  51.00 TWTR150313P00051000   3.50   4.75   5.00      0.00     0.00%        25                60              43.75%
  51.50 TWTR150313P00051500   4.27   5.20   5.50      1.32   +44.75%         2                12              47.66%
  52.00 TWTR150313P00052000   6.14   5.75   6.00      1.30   +31.71%         2                22              51.56%
  52.50 TWTR150313P00052500   4.45   5.10   6.75      0.00     0.00%        33                92             100.59%
  53.00 TWTR150313P00053000   5.30   5.60   7.30      0.00     0.00%         5                85             110.94%
  53.50 TWTR150313P00053500   5.80   6.10   7.75      0.00     0.00%         6                10             110.55%
  54.00 TWTR150313P00054000   5.10   6.60   8.25      0.00     0.00%        10                10             115.43%
  54.50 TWTR150313P00054500   5.70   7.10   8.75      0.00     0.00%        65                65             120.31%
  55.00 TWTR150313P00055000   6.00   7.60   9.25      0.00     0.00%        29               127             125.00%
  57.00 TWTR150313P00057000   9.55   9.60  11.30      0.00     0.00%         6                 6             149.02%
  57.50 TWTR150313P00057500  10.20   9.85  11.95      0.00     0.00%         2                 2             170.12%
 March 20, 2015
 Calls
 Strike       Contract Name   Last    Bid    Ask    Change   %Change    Volumn     Open Interest  Implied Volatility
  19.00 TWTR150320C00019000  20.85  26.75  27.35      0.00     0.00%        20                41             220.31%
  20.00 TWTR150320C00020000  29.00  25.75  26.35      0.00     0.00%         2                89             209.38%
  21.00 TWTR150320C00021000  17.92  24.70  25.30      0.00     0.00%         2                 7             272.27%
  22.00 TWTR150320C00022000  18.25  23.70  24.35      0.00     0.00%         4                 4             165.63%
  25.00 TWTR150320C00025000  24.50  20.70  21.25      0.00     0.00%         1                64             210.16%
  26.00 TWTR150320C00026000  14.25  19.75  20.30      0.00     0.00%        20                45             131.25%
  27.00 TWTR150320C00027000  21.15  18.75  19.30      0.00     0.00%        20                57             121.88%
  28.00 TWTR150320C00028000  17.99  17.75  18.15      0.00     0.00%         2                28             158.98%
  29.00 TWTR150320C00029000  19.30  16.75  17.25      0.00     0.00%         3                87             165.63%
  30.00 TWTR150320C00030000  17.08  15.75  16.30      0.00     0.00%         2               777             100.00%
  31.00 TWTR150320C00031000  15.15  14.80  15.35      0.00     0.00%        20               350             114.06%
  32.00 TWTR150320C00032000  16.30  13.75  14.30      0.00     0.00%        33               349              85.94%
  33.00 TWTR150320C00033000  13.15  12.75  13.30      0.00     0.00%        20               198              79.69%
  34.00 TWTR150320C00034000  15.24  11.75  12.30      0.00     0.00%       170               701              73.44%
  35.00 TWTR150320C00035000  12.55  10.75  11.30     -0.80    -5.99%        11              2140              67.19%
  36.00 TWTR150320C00036000  12.24   9.75  10.30      0.00     0.00%       400             32445              60.94%
  36.50 TWTR150320C00036500  10.30   9.25   9.80      0.00     0.00%        21                 0              57.81%
  37.00 TWTR150320C00037000   9.55   8.80   9.30     -0.55    -5.21%        16              4332              63.28%
  37.50 TWTR150320C00037500  11.15   8.30   8.80      0.00     0.00%        24                24              59.77%
  38.00 TWTR150320C00038000   8.00   7.80   8.30      0.67    +7.20%         6              3000              56.64%
  38.50 TWTR150320C00038500   7.70   7.55   7.80      0.00     0.00%        10                36              70.31%
  39.00 TWTR150320C00039000   6.93   6.85   7.25     -0.72    -8.57%        51              2876              50.00%
  39.50 TWTR150320C00039500   7.10   6.50   7.15      0.00     0.00%         2                 8              74.02%
  40.00 TWTR150320C00040000   6.10   6.05   6.30     -0.45    -6.12%       757             11838              58.20%
  40.50 TWTR150320C00040500   5.95   5.50   5.85     -0.40    -5.93%        10                40              54.30%
  41.00 TWTR150320C00041000   5.00   4.95   5.30      0.48    +7.42%         7              3519              58.98%
  42.00 TWTR150320C00042000   4.14   4.20   4.40     -0.87   -15.48%        82              5212              50.10%
  42.50 TWTR150320C00042500   4.05   3.65   3.95      0.00     0.00%        10                47              53.13%
  43.00 TWTR150320C00043000   3.40   3.35   3.45     -0.53   -11.57%       572             10611              48.15%
  43.50 TWTR150320C00043500   2.96   2.92   3.05      0.00     0.00%         4                42              47.31%
  44.00 TWTR150320C00044000   2.55   2.56   2.60     -0.68   -18.09%       362              3507              43.85%
  44.50 TWTR150320C00044500   2.21   2.19   2.22      0.00     0.00%        77                49              42.48%
  45.00 TWTR150320C00045000   1.90   1.85   1.88     -0.64   -21.40%      3369              7525              41.70%
  45.50 TWTR150320C00045500   1.56   1.54   1.57     -0.57   -21.51%       121               114              41.02%
  46.00 TWTR150320C00046000   1.28   1.27   1.28     -0.47   -21.27%      3050              7534              40.04%
  46.50 TWTR150320C00046500   1.01   1.03   1.05     -0.53   -26.37%       250               674              39.94%
  47.00 TWTR150320C00047000   0.82   0.83   0.84     -0.44   -26.19%      1490              7016              39.55%
  47.50 TWTR150320C00047500   0.65   0.66   0.67     -0.35   -25.55%      1497              1089              39.55%
  48.00 TWTR150320C00048000   0.52   0.52   0.54     -0.36   -30.77%      3746              7150              39.94%
  48.50 TWTR150320C00048500   0.38   0.41   0.42     -0.33   -33.00%       465              1062              39.84%
  49.00 TWTR150320C00049000   0.31   0.32   0.34     -0.25   -30.86%      1657              6523              40.63%
  49.50 TWTR150320C00049500   0.25   0.25   0.26     -0.27   -38.03%       401              1105              40.53%
  50.00 TWTR150320C00050000   0.20   0.20   0.21     -0.18   -32.73%      2727             41266              41.31%
  50.50 TWTR150320C00050500   0.17   0.16   0.17     -0.28   -50.00%        97               606              42.19%
  51.00 TWTR150320C00051000   0.13   0.12   0.14     -0.08   -21.05%        45              1643              43.16%
  51.50 TWTR150320C00051500   0.11   0.10   0.11     -0.06   -18.75%        25               734              43.56%
  52.00 TWTR150320C00052000   0.11   0.08   0.10     -0.09   -34.62%        36               800              45.31%
  52.50 TWTR150320C00052500   0.08   0.07   0.08     -0.09   -40.91%       194              8810              45.90%
  53.00 TWTR150320C00053000   0.08   0.06   0.07     -0.07   -36.84%         2              1494              47.27%
  53.50 TWTR150320C00053500   0.06   0.05   0.07     -0.05   -33.33%        21               451              49.81%
  54.00 TWTR150320C00054000   0.07   0.04   0.06      0.01    +7.69%       300               202              50.78%
  54.50 TWTR150320C00054500   0.06   0.04   0.05     -0.04   -25.00%        10              1357              50.39%
  55.00 TWTR150320C00055000   0.03   0.04   0.05     -0.03   -30.00%       818             26636              52.73%
  55.50 TWTR150320C00055500   0.06   0.03   0.05     -0.05   -41.67%         5               129              53.91%
  56.00 TWTR150320C00056000   0.10   0.03   0.04      0.00     0.00%        25                69              55.08%
  56.50 TWTR150320C00056500   0.14   0.02   0.04      0.00     0.00%         2                57              55.86%
  57.50 TWTR150320C00057500   0.04   0.01   0.04      0.01   +20.00%         2              2992              58.20%
  60.00 TWTR150320C00060000   0.02   0.00   0.03     -0.02   -40.00%        15              6654              63.28%
  62.50 TWTR150320C00062500   0.02   0.02   0.03     -0.01   -25.00%         4               931              76.56%
  65.00 TWTR150320C00065000   0.02   0.02   0.03      0.00     0.00%         4              7338              84.38%
  70.00 TWTR150320C00070000   0.01   0.01   0.02     -0.01   -50.00%         3              5070              93.75%
  75.00 TWTR150320C00075000   0.02   0.00   0.01      0.01  +100.00%         4              3948              96.88%
  80.00 TWTR150320C00080000   0.01   0.00   0.01      0.00     0.00%         9              3998             106.25%
 Puts
 Strike       Contract Name   Last    Bid    Ask    Change   %Change    Volumn     Open Interest  Implied Volatility
  19.00 TWTR150320P00019000   0.01   0.00   0.02      0.00     0.00%         1               728             187.50%
  20.00 TWTR150320P00020000   0.02   0.00   0.02      0.00     0.00%        10               230             178.13%
  21.00 TWTR150320P00021000   0.15   0.00   0.02      0.00     0.00%         2                54             168.75%
  22.00 TWTR150320P00022000   0.01   0.00   0.02      0.00     0.00%         2               429             159.38%
  23.00 TWTR150320P00023000   0.01   0.00   0.02      0.00     0.00%        35               410             150.00%
  24.00 TWTR150320P00024000   0.02   0.00   0.02      0.00     0.00%        47               362             140.63%
  25.00 TWTR150320P00025000   0.01   0.00   0.02      0.00     0.00%        18              3063             134.38%
  26.00 TWTR150320P00026000   0.04   0.00   0.02      0.00     0.00%        16               313             125.00%
  27.00 TWTR150320P00027000   0.01   0.00   0.02      0.00     0.00%         5               381             117.19%
  28.00 TWTR150320P00028000   0.02   0.00   0.02      0.00     0.00%         8               839             109.38%
  29.00 TWTR150320P00029000   0.01   0.00   0.02      0.00     0.00%        52              1848             103.13%
  30.00 TWTR150320P00030000   0.03   0.00   0.02      0.02  +200.00%         1              4694              96.88%
  31.00 TWTR150320P00031000   0.02   0.00   0.02      0.00     0.00%        19              1473              89.06%
  32.00 TWTR150320P00032000   0.01   0.00   0.02      0.00     0.00%         1              6717              82.81%
  33.00 TWTR150320P00033000   0.02   0.00   0.02      0.00     0.00%        13              3209              76.56%
  34.00 TWTR150320P00034000   0.01   0.00   0.03     -0.01   -50.00%        11              7415              73.44%
  35.00 TWTR150320P00035000   0.02   0.00   0.03      0.01  +100.00%         1              8710              67.19%
  36.00 TWTR150320P00036000   0.04   0.00   0.04      0.00     0.00%         1              7677              63.28%
  37.00 TWTR150320P00037000   0.02   0.02   0.03     -0.02   -50.00%         2              7628              58.59%
  38.00 TWTR150320P00038000   0.04   0.03   0.04      0.00     0.00%        35              2876              55.47%
  38.50 TWTR150320P00038500   0.03   0.03   0.05      0.00     0.00%        27               214              53.13%
  39.00 TWTR150320P00039000   0.01   0.04   0.06     -0.01   -33.33%         1              3811              51.95%
  40.00 TWTR150320P00040000   0.06   0.06   0.08      0.01   +25.00%       494             12471              49.61%
  40.50 TWTR150320P00040500   0.08   0.08   0.09     -0.02   -25.00%       133               529              47.07%
  41.00 TWTR150320P00041000   0.10   0.10   0.11     -0.02   -25.00%      1313              4097              45.51%
  41.50 TWTR150320P00041500   0.13   0.12   0.14     -0.08   -44.44%       325               442              44.34%
  42.00 TWTR150320P00042000   0.18   0.16   0.17     -0.01    -8.33%       368              5428              42.58%
  42.50 TWTR150320P00042500   0.20   0.20   0.22      0.00     0.00%       452               544              41.60%
  43.00 TWTR150320P00043000   0.29   0.26   0.27      0.04   +20.00%      1308              3404              40.04%
  43.50 TWTR150320P00043500   0.37   0.33   0.35      0.09   +42.86%        50               862              39.16%
  44.00 TWTR150320P00044000   0.45   0.44   0.45      0.00     0.00%      1551              4293              38.38%
  44.50 TWTR150320P00044500   0.56   0.56   0.58      0.07   +16.67%       567               381              37.79%
  45.00 TWTR150320P00045000   0.75   0.72   0.74      0.11   +21.15%      1800              7698              37.35%
  45.50 TWTR150320P00045500   0.91   0.91   0.93      0.04    +5.71%       362              2265              36.82%
  46.00 TWTR150320P00046000   1.17   1.14   1.16      0.15   +18.29%       692              6851              36.57%
  46.50 TWTR150320P00046500   1.40   1.40   1.42      0.12   +11.01%       414              1338              36.18%
  47.00 TWTR150320P00047000   1.71   1.70   1.72      0.28   +22.58%       450              3066              35.99%
  47.50 TWTR150320P00047500   2.04   2.03   2.05      0.28   +19.05%       480              2307              35.69%
  48.00 TWTR150320P00048000   2.41   2.39   2.41      0.30   +16.95%       491              8926              35.40%
  48.50 TWTR150320P00048500   2.80   2.77   2.80     -0.13    -6.10%        88               724              35.16%
  49.00 TWTR150320P00049000   3.45   3.15   3.25      0.38   +15.77%        72              2368              36.82%
  49.50 TWTR150320P00049500   3.67   3.55   3.70      0.10    +3.66%        70               677              37.89%
  50.00 TWTR150320P00050000   4.19   4.00   4.10      0.53   +16.83%        81              9807              34.67%
  50.50 TWTR150320P00050500   4.55   4.45   4.60      0.10    +3.17%        45               129              37.70%
  51.00 TWTR150320P00051000   3.75   4.95   5.05      0.00     0.00%        29               231              35.74%
  51.50 TWTR150320P00051500   5.10   5.35   5.60      0.00     0.00%        43               112              43.56%
  52.00 TWTR150320P00052000   4.50   5.75   6.20      0.00     0.00%        36                83              54.30%
  52.50 TWTR150320P00052500   6.30   5.90   6.60      0.14    +2.86%         1               306              49.22%
  53.00 TWTR150320P00053000   7.25   6.65   7.30      0.00     0.00%         5                40              66.89%
  53.50 TWTR150320P00053500   5.68   7.00   7.80      0.00     0.00%        23                25              70.02%
  54.00 TWTR150320P00054000   8.20   7.70   8.30      0.00     0.00%        20                55              73.05%
  54.50 TWTR150320P00054500   5.90   8.00   8.80      0.00     0.00%        19                19              75.98%
  55.00 TWTR150320P00055000   9.05   8.55   9.05     -0.10    -1.41%        22               549              55.47%
  55.50 TWTR150320P00055500   7.15   8.05   9.80      0.00     0.00%        30                30              81.64%
  56.00 TWTR150320P00056000   6.90   8.55  10.25      0.00     0.00%        28                28              80.86%
  57.50 TWTR150320P00057500  10.20  10.05  11.75      0.33    +3.34%        30               196              88.67%
  60.00 TWTR150320P00060000  11.47  12.50  14.25      0.00     0.00%       100               584             100.98%
  62.50 TWTR150320P00062500  25.40  15.50  16.80      0.00     0.00%        60               195             116.80%
  65.00 TWTR150320P00065000  16.30  17.50  19.35      0.00     0.00%         2                55             132.03%
  70.00 TWTR150320P00070000  22.09  22.50  24.25      0.00     0.00%         3               525             142.77%
  75.00 TWTR150320P00075000  23.77  27.35  30.35      0.00     0.00%         0                 0             236.43%
  80.00 TWTR150320P00080000  39.94  32.50  34.25      0.00     0.00%         2                 5             176.56%
 March 27, 2015
 Calls
 Strike       Contract Name   Last    Bid    Ask    Change   %Change    Volumn     Open Interest  Implied Volatility
  35.00 TWTR150327C00035000  13.00  10.75  11.50      0.00     0.00%         1                 1              72.07%
  36.50 TWTR150327C00036500  11.40   9.10   9.95      0.00     0.00%        20                70              86.72%
  37.00 TWTR150327C00037000  11.25   8.80   9.50      0.00     0.00%        12                35              62.31%
  37.50 TWTR150327C00037500   8.85   8.30   9.00      0.00     0.00%         3                84              59.18%
  38.00 TWTR150327C00038000   8.50   7.85   8.50      0.00     0.00%        11                11              58.20%
  38.50 TWTR150327C00038500   7.85   7.30   8.00      0.00     0.00%         5                13              52.93%
  39.00 TWTR150327C00039000   8.00   6.95   7.50      0.00     0.00%         9                32              55.27%
  39.50 TWTR150327C00039500   8.58   6.40   7.00      0.00     0.00%         1                 1              50.39%
  40.00 TWTR150327C00040000   6.76   5.90   6.55      0.00     0.00%         2                 2              64.75%
  40.50 TWTR150327C00040500   7.90   5.45   6.40      0.00     0.00%         3                 5              55.57%
  41.00 TWTR150327C00041000   7.90   5.00   5.55      0.00     0.00%         1                21              56.93%
  41.50 TWTR150327C00041500   7.65   4.55   5.05      0.00     0.00%         5                78              53.03%
  42.00 TWTR150327C00042000   4.70   4.30   4.60      0.00     0.00%        38               325              50.88%
  42.50 TWTR150327C00042500   5.37   3.90   4.15     -1.53   -22.17%         1                 7              48.54%
  43.00 TWTR150327C00043000   4.72   3.50   3.75     -0.48    -8.60%         2               138              47.56%
  43.50 TWTR150327C00043500   3.07   3.20   3.25      0.00     0.00%        42                44              43.16%
  44.00 TWTR150327C00044000   2.78   2.84   2.88      0.00     0.00%         1                88              42.38%
  44.50 TWTR150327C00044500   2.75   2.49   2.54      0.00     0.00%        10                98              41.90%
  45.00 TWTR150327C00045000   2.20   2.17   2.21      0.00     0.00%       236               271              41.11%
  45.50 TWTR150327C00045500   1.90   1.88   1.91      0.00     0.00%        71               190              40.53%
  46.00 TWTR150327C00046000   1.63   1.62   1.64      0.00     0.00%        24               151              40.14%
  46.50 TWTR150327C00046500   1.38   1.38   1.40     -1.36   -43.31%       515                95              39.84%
  47.00 TWTR150327C00047000   1.17   1.17   1.19     -0.48   -23.65%       155               250              39.75%
  47.50 TWTR150327C00047500   1.01   0.98   1.00     -0.15    -8.62%       998               250              39.55%
  48.00 TWTR150327C00048000   0.84   0.82   0.84     -0.42   -26.58%       341              2287              39.55%
  48.50 TWTR150327C00048500   0.83   0.68   0.70     -0.05    -3.79%        38               605              39.55%
  49.00 TWTR150327C00049000   0.60   0.57   0.59     -0.51   -34.93%       144               555              39.89%
  49.50 TWTR150327C00049500   0.53   0.47   0.49     -0.04    -4.00%        28               237              40.04%
  50.00 TWTR150327C00050000   0.38   0.39   0.41     -0.19   -22.89%       143              1225              40.33%
  50.50 TWTR150327C00050500   0.32   0.33   0.35     -0.01    -1.59%        14                39              41.02%
  51.00 TWTR150327C00051000   0.28   0.27   0.29      0.04    +6.35%        13               361              41.21%
  51.50 TWTR150327C00051500   0.24   0.23   0.25      0.00     0.00%         8               267              41.99%
  52.00 TWTR150327C00052000   0.25   0.19   0.21     -0.03    -6.82%        39               337              42.38%
  52.50 TWTR150327C00052500   0.18   0.16   0.18     -0.20   -40.00%         8               221              43.07%
  53.00 TWTR150327C00053000   0.26   0.14   0.16     -0.13   -36.11%        65               312              44.04%
  53.50 TWTR150327C00053500   0.25   0.12   0.14      0.00     0.00%         9              1073              44.82%
  54.00 TWTR150327C00054000   0.21   0.10   0.12      0.00     0.00%         4                84              45.41%
  55.00 TWTR150327C00055000   0.10   0.07   0.13      0.00     0.00%         9               258              50.20%
  57.00 TWTR150327C00057000   0.20   0.03   0.09      0.00     0.00%        10                10              50.20%
  60.00 TWTR150327C00060000   0.16   0.00   0.06      0.00     0.00%        82              2950              53.91%
  65.00 TWTR150327C00065000   0.08   0.00   0.04      0.00     0.00%       100               112              64.06%
 Puts
 Strike       Contract Name   Last    Bid    Ask    Change   %Change    Volumn     Open Interest  Implied Volatility
  30.00 TWTR150327P00030000   0.03   0.00   0.04      0.00     0.00%       100               227              81.25%
  32.00 TWTR150327P00032000   0.08   0.00   0.04      0.00     0.00%         1                 1              70.31%
  34.00 TWTR150327P00034000   0.07   0.00   0.05      0.00     0.00%         3                 6              61.72%
  35.00 TWTR150327P00035000   0.04   0.00   0.05      0.00     0.00%         1                23              56.25%
  36.50 TWTR150327P00036500   0.10   0.00   0.07      0.00     0.00%         4                 4              51.17%
  37.00 TWTR150327P00037000   0.16   0.00   0.07      0.00     0.00%         2                69              54.30%
  38.00 TWTR150327P00038000   0.87   0.05   0.09      0.00     0.00%         3                 4              51.17%
  38.50 TWTR150327P00038500   0.34   0.07   0.10      0.00     0.00%         4                 4              49.22%
  39.00 TWTR150327P00039000   0.10   0.09   0.11      0.00     0.00%       317                68              47.27%
  39.50 TWTR150327P00039500   0.11   0.11   0.13      0.00     0.00%      1482                24              46.09%
  40.00 TWTR150327P00040000   0.15   0.14   0.15      0.00     0.00%       575                49              44.53%
  40.50 TWTR150327P00040500   0.15   0.17   0.18      0.00     0.00%       217                 1              43.36%
  41.00 TWTR150327P00041000   0.20   0.21   0.23      0.00     0.00%        29               103              43.07%
  41.50 TWTR150327P00041500   0.25   0.25   0.28      0.00     0.00%        23                87              42.19%
  42.00 TWTR150327P00042000   0.30   0.31   0.33     -0.04   -13.33%       103                59              40.92%
